"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-bb0e3a3e307149dd9a5b7145147ac3ac","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","id-f9e296986d8a44bbaeca90bd26bd9eb3",""
"EAID_759C2F75_FD19_4dbd_BD0D_AE6C19C418B5","AccessRelationship","","","EAID_D5D6B2F1_11BE_4985_B1D5_D5DA4380F2E1","EAID_1AFE201C_EB00_424a_82F7_722E4D6B06AE",""
"id-537c95f57af04d50844d9bfa66f26cbf","AccessRelationship","","","id-8337f561011a44da8fa6e79138fa8ac7","id-6210202f8dc04017aee9f068f7d0392e",""
"id-d52cdb66eb2045829a0d7d0dbb7823cf","AccessRelationship","","","id-e7509dc99d3d43dcb2a59fb6d00103ee","id-0068599de4664df6b679126e34dc9a06",""
"id-152d8b30f8ef4ef0a3f65a039fb2cc53","AccessRelationship","","","id-8617d1616537462b86fb569a9af60b97","id-7b666c6ab4d642fcb58c40ae90ba1f8e",""
"id-dc6f1b590f4241a2a8a0b3d134bbdc42","AccessRelationship","","","id-311dd552c9a942c19308621b67e936b3","id-f92dca07f65247628abef83bba7c1e0e",""
"EAID_FF95376E_1A4C_4366_A0F8_7A0F8F04C1DD","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_92753E01_DFF5_43f8_9026_4714EB56715E",""
"id-767b65b9cea144be9550d9e10689642a","AccessRelationship","","","id-d685d7252395426f98f2e5e6ff63cc5d","id-ad35c321a8704123879535f2473f2115",""
"id-2139b8f907434c40aa591b3164fd41b7","AccessRelationship","","","id-9a81047618bc48bcb43b39fb59a3629d","id-6037babbc6b64f5fa4b9490e45055452",""
"id-ac627e8653304b258c69c9272348b34f","AccessRelationship","","","id-6e1fe141959e400e8c36c8e58226e65d","id-7720a8691750469d8e5109de04f27190",""
"id-f7145b4ed2444cd69d9789d498aa8f37","AccessRelationship","","","id-73b3e9ba86384554a422b115135fdd0e","id-50ad46d5c0ab49d8a6f3a71a72d6e1f5",""
"id-684faadb943d43b2bb809708d0329712","AccessRelationship","","","id-1fed1c57ed7e479b8e7951116ee61942","id-6fd6f0eb84574641a451df832d0f5469",""
"id-a45c8199fd9843d1a8fabf9b4c15cda6","AccessRelationship","","","EAID_AAB1269E_7BD3_43de_B44C_44417E32B9C2","id-126e82e702b24b5f8c67f92bc191f2ef",""
"id-be143747b4874a9ebdffa57ceba9402e","AccessRelationship","","","id-73b3e9ba86384554a422b115135fdd0e","id-d418055c9ad341e1a7fd2d337c9073c1",""
"EAID_1728B59E_1448_4532_AD54_A53B882C0973","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_7FA51065_A028_471b_B1B1_DE72B890F240",""
"EAID_1E3ADB16_401F_4d26_8F21_3EF28F1F7907","AccessRelationship","","","EAID_15A0F584_7462_40d4_AA31_15F3F916400D","EAID_F44A36F9_A00B_47fc_872C_5F4B0AB4F5EB",""
"id-88eb88ee25aa435ca90c914d4a3b5da3","AccessRelationship","","","id-d22eea81098542caa46328bbcdea9179","id-ad35c321a8704123879535f2473f2115",""
"id-f893340084ca4f5eae10a3d25c5f72a5","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","id-942a31522bed430da3a8363775f810a3",""
"id-a87adc6329244862b2600b10cf15b88f","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","id-476879e45e6440feacb9ee7f755a72e3",""
"id-953e963a5271416ea6abefb8811aa64f","AccessRelationship","","","id-1f790482a7e4459db403b231f1a8c020","id-0e01a8032129446390c14fcdb0998b67",""
"id-c3f09c64389444c3ac747aa15c4063f9","AccessRelationship","","","id-e508c830ee24471886d93a6d0d38d4ae","id-e3a763c4671149c1a0686f5d34a801f3",""
"id-a84821709a5a4021a321d405a9b0cb63","AccessRelationship","","","id-6e1fe141959e400e8c36c8e58226e65d","id-fb09944f37874beab0cc528a9cd5acf3",""
"id-5c3e6f0d80334216a7569acaf0a11f66","AccessRelationship","","","id-31f3dfa016664ab0ab2187c157fcc140","id-c4c3ab9919384cd7919d5ca0907d9b33",""
"id-e974c87933934c5eb4d4d8f6d677731a","AccessRelationship","","","id-1f790482a7e4459db403b231f1a8c020","id-e3a763c4671149c1a0686f5d34a801f3",""
"id-3a0991ccf2a34d80835ecfad39a0b3d3","AccessRelationship","","","id-b8356db96a68414a942c2272b70f107b","id-062ca9c0ee324ab58c208a4e919a6fe4",""
"id-3fda71508c2e471cadff0f49c643f223","AccessRelationship","","","id-deca773469d64930913384ac9e0ce36b","id-6a22733b592d462aace2c3ad6f0d2ee7",""
"EAID_945240A9_3922_4d81_9C3A_991E908BE166","AccessRelationship","","","EAID_B768A82C_7D1C_43bc_8BAB_023FCFB0987C","EAID_92753E01_DFF5_43f8_9026_4714EB56715E",""
"id-fbaa4cbe0ca3401ab23774d70da24bd3","AccessRelationship","","","id-4a24708a8cc74d7e84e5b2e2da8c5ac2","id-f92dca07f65247628abef83bba7c1e0e",""
"EAID_3BC4555F_8E91_4a83_96F4_264CF17113BA","AccessRelationship","","","EAID_15A0F584_7462_40d4_AA31_15F3F916400D","EAID_D2A1D80E_00A2_4f71_B188_DA402CFD4AE8",""
"id-4b165a4b76ff41e3bf71b0646055d29d","AccessRelationship","","","id-805ae7fc5d23414dbf0ffda508befffd","id-ed55b66242e0400689072308e9bde3f4",""
"id-8dc03047cd8b445688366c34a7dc1a3b","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","id-921b5d90859b4e79ad6f7473c510a03e",""
"EAID_CFE4AA09_9FCA_4e50_8C2D_9F516DFF055D","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_2D898591_073C_416e_B510_E9C4AEF3BAF3",""
"EAID_A64B8856_A5F6_4b15_929B_64FDFF7AEA5A","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_38A1BDDD_7DA3_4322_92C9_3033C8507824",""
"id-72a637ab2ee144a28748ab5c2fbc7e03","AccessRelationship","","","id-e508c830ee24471886d93a6d0d38d4ae","id-541092cde11a4fb49141cbad6ffe4f4d",""
"id-6a675d3f952e47008d3921485244676f","AccessRelationship","","","id-805ae7fc5d23414dbf0ffda508befffd","id-2ce2fe8d3f694c29a7b891ee6fa1b42a",""
"id-761c23eee4e243b1b93b32322e7aca59","AccessRelationship","","","id-6e1fe141959e400e8c36c8e58226e65d","id-1237c5e5959348e88ac82135138bbac0",""
"EAID_A086A440_8B48_4915_B40F_16B02F9AF5B0","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_6CA579CA_EC0B_4ffd_A9EA_A4ADF2C43629",""
"id-3a07cfaaabc34331b2c882d4b1c40055","AccessRelationship","","","id-901613156ceb4392b99d6bc368e62086","id-541092cde11a4fb49141cbad6ffe4f4d",""
"id-17455dbe92cc452aa42de69d1f50b344","AccessRelationship","","","id-901613156ceb4392b99d6bc368e62086","id-98218ee9f891475783d992a0aaa1f029",""
"EAID_D5E0973B_96B6_4e5c_B137_CF0F08BA38F6","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_46950E9D_B46C_4c49_A0E8_DA4EB482D82C",""
"id-686d1f28a0984f19ad4441d9a512100f","AccessRelationship","","","id-8337f561011a44da8fa6e79138fa8ac7","id-f94bf892eb3d44d0b7e8d46ee65974f6",""
"id-cc37a834069b408d9f8b389bed98314a","AccessRelationship","","","id-c1d39190f5764ed189e1461c9a9b40b0","id-ad35c321a8704123879535f2473f2115",""
"id-e702c0b2745943d1a85dbccfcf04d933","AccessRelationship","","","id-8337f561011a44da8fa6e79138fa8ac7","id-171e7f04da9b4ba79a8085ba456ab16f",""
"id-0f49573689134a9b9a1bb1e706de28ba","AccessRelationship","","","EAID_AAB1269E_7BD3_43de_B44C_44417E32B9C2","id-66f54c52c5524053b01de7f67da1da67",""
"id-5b5f1fcd96cd4f83a725822b4a1388f1","AccessRelationship","","","id-1f790482a7e4459db403b231f1a8c020","EAID_01AE7FE7_5E3A_4d6b_9922_E7601F1DB32D",""
"id-310e46ae247d4c70acbadfdd23b8a738","AccessRelationship","","","id-1f790482a7e4459db403b231f1a8c020","EAID_E66CE9E1_D1AA_4e65_9948_F31053711580",""
"EAID_F77AB553_7067_41c2_BB7B_4CF79153ECDF","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","EAID_113BD35A_4922_403b_8E76_02A97C1A85D6",""
"id-be4158fedf744704a3df5f5333b44827","AccessRelationship","","","id-e508c830ee24471886d93a6d0d38d4ae","id-98218ee9f891475783d992a0aaa1f029",""
"id-899093106b7848749e4e545dc4ebd507","AccessRelationship","","","id-b5ab0431547e4a5c9f4e4fb9ef5216b6","id-1c7d281a9fed490696718e929875c1c3",""
"id-74f304fe22ed43738b42f27236967379","AccessRelationship","","","id-b2d25ef8e46b4b2c873b3448b26aca24","id-ad35c321a8704123879535f2473f2115",""
"EAID_5A432DAE_F617_4792_ABD0_726B18470C1C","AccessRelationship","Algorithm Training","The algorithm in the ""Weather Forecast Generation"" function be trained by retrospectively comparing the weather forecast to the weather measured for a given time and location.","EAID_65268548_D50E_45ad_8F03_58C29D0E9F7C","EAID_C91B790E_A9EC_40f8_8EE4_B9D270E2CF11",""
"id-dcf4b877605d452a82db7f0d20cf43a1","AccessRelationship","collects data from","","id-30b1c7af5559402ab214b52656991ecb","id-49633b50703e4377837e67e3fed193f7",""
"id-83976cf0e69540b1a12d4927a398c716","AccessRelationship","read","","id-d8fa83592f3b4cf19ca778f9b17b8299","id-fb3f9f22548142929a4e255cd8f8dbb3",""
"id-19bd6219bbb84135a0147c04b8beab78","AccessRelationship","read/write","","id-940e9ff987b94ddfb3b11c9846927d11","id-b5bd15c5d74347a6ae0132b1cfa427f4",""
"id-b94f14a57e254657b1147dd5712cfa21","AccessRelationship","read/write","","id-8177002a8dc44a5ca8b96576dde9e5c0","id-cabda16887f04ad4a201b9ddb06d0577",""
"id-066eddcb67c141a38ecb2ea857fbf7f6","AccessRelationship","write","","id-c6d0aa7eab854ebdaebf887cdeb8e5a9","id-fb3f9f22548142929a4e255cd8f8dbb3",""
"id-24fc66d2dd89409eb0d1f69d581ac7a5","AggregationRelationship","","","id-4c5d3f8710ba40f093bbac121bedea74","id-15c46bfc72a34116ad460ffad85004b1",""
"id-93292780e3814abab1ef4b8848257b3e","AggregationRelationship","","","id-fe3109f987b841c68587255ee1ce5fcb","id-9c7bb3de435f4db2ac3efe23eaf4d023",""
"id-055b171a52564411b175db50fd2e6bd9","AggregationRelationship","","","id-f451dce13e214b9d8fa43a11764acc80","id-1697a5356c12455480aa32ed8250193f",""
"id-8d38ae02001b4e2aa0bb5ac42c0c9a8e","AggregationRelationship","","","id-08bebb57447d41e795c40b15158e82ac","id-4c5d3f8710ba40f093bbac121bedea74",""
"id-2dbc07c95ec34d209b6814282ba66215","AggregationRelationship","","","id-4c5d3f8710ba40f093bbac121bedea74","id-8661696d88d0458a847e0cc4281aeec8",""
"id-4eedd3a2abf14de0956544b6efc68d3e","AggregationRelationship","","","id-7ab6dbfddc0c426bb6279c81935242cf","id-3d40b2f6b32f429f8eddeaa4d1ae0323",""
"id-70aeac65c9fb463cb4ab15708478fdc2","AggregationRelationship","","","id-afeb5c961372486394672d5452739c37","id-fb8977d8c7ef4f589dacf286db3c3c6f",""
"id-1ba667fd670c48a4a78a5474a03c1d50","AggregationRelationship","","","id-0ef784debd9a4d5793e51a9293a1b8be","id-9442ddbbadfb4cb18abcb4ad5cbf198c",""
"id-edfb6697865f4af2a1627c7a65d19d44","AggregationRelationship","","","id-83c5611ba6c242f390785147181f22d0","id-43a7ef7fe49f452ab5e92d02d54a6971",""
"id-9d11270d8fe64b8b90ad2cc469a9f5c8","AggregationRelationship","","","id-6fd6f0eb84574641a451df832d0f5469","id-28631b281d114c1585fc38c571bb36e7",""
"id-f3ed472c88664ce9909da7250b63e569","AggregationRelationship","","","id-ad23d63d08c34382a72f94705e18fd6c","id-ac7e9b91245f4c34a29baebd52e8208e",""
"id-727bcb4efb504aaf86b039695f463f38","AggregationRelationship","","","id-31d53998230f4e8dab8bb7a489b2620c","id-8627dcf03d454fef81243c923b4588f1",""
"id-a718da9056da48be9004207384a18f98","AggregationRelationship","","","id-8e739921e10143b1a326898d99641518","id-6acc9a438a484197b77131012a386350",""
